,Pair 1,,,Pair 2,
,5414,3.32,,5414,3.91
,5416,3.32,,5416,3.91
,5418,3.32,,5418,3.91
,5420,3.32,,5420,3.91
,5422,3.32,,5422,3.92
,5424,3.31,,5424,3.92
,5426,3.31,,5426,3.91
,5428,3.32,,5428,3.91
,5430,3.32,,5430,3.91
,5432,3.32,,5432,3.92
,5434,3.32,,5434,3.92
,5436,3.32,,5436,3.91
,5438,3.32,,5438,3.91
,5440,3.31,,5440,3.91
,5442,3.33,,5442,3.91
,5444,3.31,,5444,3.92
,5446,3.33,,5446,3.92
,5448,3.33,,5448,3.91
,5450,3.33,,5450,3.92
,5452,3.33,,5452,3.91
,5454,3.33,,5454,3.91
,5456,3.33,,5456,3.92
,5458,3.33,,5458,3.91
,5460,3.32,,5460,3.92
,5462,3.32,,5462,3.92
,5464,3.33,,5464,3.91
,5466,3.33,,5466,3.91
,5468,3.34,,5468,3.92
,5470,3.33,,5470,3.92
,5472,3.34,,5472,3.92
,5474,3.33,,5474,3.92
,5476,3.32,,5476,3.93
,5478,3.33,,5478,3.92
,5480,3.33,,5480,3.92
,5482,3.34,,5482,3.91
,5484,3.34,,5484,3.93
,5486,3.33,,5486,3.92
,5488,3.33,,5488,3.93
,5490,3.33,,5490,3.92
,5492,3.34,,5492,3.91
,5494,3.33,,5494,3.9
,5496,3.33,,5496,3.91
,5498,3.33,,5498,3.92
,5500,3.33,,5500,3.92
,5502,3.34,,5502,3.91
,5504,3.34,,5504,3.92
,5506,3.33,,5506,3.93
,5508,3.33,,5508,3.92
,5510,3.33,,5510,3.93
,5512,3.34,,5512,3.92
,5514,3.33,,5514,3.92
,5516,3.33,,5516,3.93
,5518,3.33,,5518,3.94
,5520,3.34,,5520,3.92
,5522,3.34,,5522,3.93
,5524,3.33,,5524,3.92
,5526,3.33,,5526,3.92
,5528,3.34,,5528,3.91
,5530,3.34,,5530,3.92
,5532,3.34,,5532,3.93
,5534,3.35,,5534,3.92
,5536,3.34,,5536,3.92
,5538,3.33,,5538,3.92
,5540,3.34,,5540,3.91
,5542,3.35,,5542,3.92
,5544,3.35,,5544,3.92
,5546,3.33,,5546,3.93
,5548,3.33,,5548,3.92
,5550,3.34,,5550,3.92
,5552,3.35,,5552,3.93
,5554,3.35,,5554,3.92
,5556,3.34,,5556,3.93
,5558,3.35,,5558,3.93
,5560,3.34,,5560,3.93
,5562,3.34,,5562,3.92
,5564,3.34,,5564,3.93
,5566,3.34,,5566,3.92
,5568,3.34,,5568,3.93
,5570,3.34,,5570,3.93
,5572,3.36,,5572,3.93
,5574,3.34,,5574,3.93
,5576,3.34,,5576,3.93
,5578,3.34,,5578,3.93
,5580,3.35,,5580,3.93
,5582,3.35,,5582,3.93
,5584,3.35,,5584,3.93
,5586,3.34,,5586,3.93
,5588,3.34,,5588,3.92
,5590,3.35,,5590,3.92
,5592,3.34,,5592,3.94
,5594,3.34,,5594,3.94
,5596,3.35,,5596,3.93
,5598,3.34,,5598,3.93
,5600,3.33,,5600,3.94
,5602,3.33,,5602,3.94
,5604,3.35,,5604,3.94
,5606,3.34,,5606,3.93
,5608,3.34,,5608,3.93
,5610,3.33,,5610,3.93
,5612,3.35,,5612,3.93
,5614,3.35,,5614,3.92
,5616,3.34,,5616,3.94
,5618,3.35,,5618,3.94
,5620,3.36,,5620,3.93
,5622,3.36,,5622,3.94
,5624,3.37,,5624,3.95
,5626,3.37,,5626,3.93
,5628,3.36,,5628,3.94
,5630,3.37,,5630,3.93
,5632,3.35,,5632,3.94
,5634,3.35,,5634,3.94
,5636,3.35,,5636,3.93
,5638,3.35,,5638,3.94
,5640,3.36,,5640,3.93
,5642,3.36,,5642,3.95
,5644,3.37,,5644,3.94
,5646,3.36,,5646,3.95
,5648,3.36,,5648,3.96
,5650,3.37,,5650,3.94
,5652,3.35,,5652,3.95
,5654,3.36,,5654,3.94
,5656,3.37,,5656,3.94
,5658,3.35,,5658,3.94
,5660,3.36,,5660,3.94
,5662,3.35,,5662,3.94
,5664,3.36,,5664,3.95
,5666,3.36,,5666,3.95
,5668,3.37,,5668,3.95
,5670,3.37,,5670,3.94
,5672,3.36,,5672,3.95
,5674,3.38,,5674,3.94
,5676,3.36,,5676,3.95
,5678,3.37,,5678,3.95
,5680,3.35,,5680,3.95
,5682,3.36,,5682,3.95
,5684,3.37,,5684,3.95
,5686,3.37,,5686,3.95
,5688,3.37,,5688,3.95
,5690,3.36,,5690,3.94
,5692,3.36,,5692,3.95
,5694,3.36,,5694,3.95
,5696,3.36,,5696,3.95
,5698,3.37,,5698,3.95
,5700,3.37,,5700,3.95
,5702,3.36,,5702,3.95
,5704,3.37,,5704,3.94
,5706,3.37,,5706,3.95
,5708,3.38,,5708,3.95
,5710,3.36,,5710,3.94
,5712,3.37,,5712,3.95
,5714,3.37,,5714,3.94
,5716,3.38,,5716,3.94
,5718,3.37,,5718,3.95
,5720,3.38,,5720,3.95
,5722,3.37,,5722,3.95
,5724,3.37,,5724,3.94
,5726,3.38,,5726,3.95
,5728,3.37,,5728,3.95
,5730,3.38,,5730,3.95
,5732,3.37,,5732,3.94
,5734,3.37,,5734,3.94
,5736,3.38,,5736,3.94
,5738,3.38,,5738,3.96
,5740,3.38,,5740,3.94
,5742,3.38,,5742,3.95
,5744,3.38,,5744,3.95
,5746,3.38,,5746,3.95
,5748,3.38,,5748,3.95
,5750,3.38,,5750,3.95
,5752,3.38,,5752,3.95
,5754,3.39,,5754,3.94
,5756,3.38,,5756,3.95
,5758,3.38,,5758,3.95
,5760,3.39,,5760,3.95
,5762,3.39,,5762,3.95
,5764,3.38,,5764,3.95
,5766,3.38,,5766,3.94
,5768,3.38,,5768,3.94
,5770,3.38,,5770,3.94
,5772,3.38,,5772,3.94
,5774,3.38,,5774,3.95
,5776,3.4,,5776,3.95
,5778,3.4,,5778,3.96
,5780,3.4,,5780,3.96
,5782,3.39,,5782,3.97
,5784,3.39,,5784,3.97
,5786,3.4,,5786,3.95
,5788,3.38,,5788,3.96
,5790,3.4,,5790,3.96
,5792,3.4,,5792,3.95
,5794,3.4,,5794,3.97
,5796,3.41,,5796,3.97
,5798,3.39,,5798,3.96
,5800,3.39,,5800,3.96
,5802,3.39,,5802,3.95
,5804,3.4,,5804,3.95
,5806,3.39,,5806,3.95
,5808,3.39,,5808,3.97
,5810,3.4,,5810,3.96
,5812,3.39,,5812,3.96
,5814,3.39,,5814,3.96
,5816,3.4,,5816,3.97
,5818,3.38,,5818,3.96
,5820,3.4,,5820,3.96
,5822,3.4,,5822,3.96
,5824,3.41,,5824,3.95
,5826,3.41,,5826,3.96
,5828,3.4,,5828,3.95
,5830,3.41,,5830,3.96
,5832,3.4,,5832,3.96
,5834,3.39,,5834,3.96
,5836,3.4,,5836,3.95
,5838,3.39,,5838,3.96
,5840,3.41,,5840,3.96
,5842,3.4,,5842,3.96
,5844,3.41,,5844,3.96
,5846,3.4,,5846,3.98
,5848,3.4,,5848,3.97
,5850,3.4,,5850,3.96
,5852,3.4,,5852,3.96
,5854,3.4,,5854,3.97
,5856,3.41,,5856,3.96
,5858,3.4,,5858,3.97
,5860,3.4,,5860,3.97
,5862,3.4,,5862,3.97
,5864,3.41,,5864,3.96
,5866,3.4,,5866,3.97
,5868,3.41,,5868,3.97
,5870,3.41,,5870,3.98
,5872,3.4,,5872,3.98
,5874,3.41,,5874,3.97
,5876,3.41,,5876,3.97
,5878,3.41,,5878,3.97
,5880,3.4,,5880,3.96
,5882,3.42,,5882,3.97
,5884,3.41,,5884,3.96
,5886,3.41,,5886,3.96
,5888,3.41,,5888,3.97
,5890,3.41,,5890,3.97
,5892,3.41,,5892,3.97
,5894,3.41,,5894,3.98
,5896,3.41,,5896,3.97
,5898,3.42,,5898,3.97
,5900,3.41,,5900,3.97
,5902,3.4,,5902,3.98
,5904,3.4,,5904,3.97
,5906,3.41,,5906,3.97
,5908,3.42,,5908,3.98
,5910,3.41,,5910,3.98
,5912,3.42,,5912,3.98
,5914,3.41,,5914,3.97
,5916,3.4,,5916,3.96
,5918,3.41,,5918,3.98
,5920,3.41,,5920,3.96
,5922,3.42,,5922,3.97
,5924,3.42,,5924,3.97
,5926,3.42,,5926,3.98
,5928,3.42,,5928,3.98
,5930,3.42,,5930,3.97
,5932,3.41,,5932,3.97
,5934,3.41,,5934,3.96
,5936,3.42,,5936,3.97
,5938,3.41,,5938,3.96
,5940,3.42,,5940,3.98
,5942,3.42,,5942,3.98
,5944,3.42,,5944,3.97
,5946,3.42,,5946,3.97
,5948,3.42,,5948,3.97
,5950,3.42,,5950,3.98
,5952,3.43,,5952,3.98
,5954,3.42,,5954,3.98
,5956,3.42,,5956,3.99
,5958,3.43,,5958,3.98
,5960,3.42,,5960,3.98
,5962,3.42,,5962,3.98
,5964,3.42,,5964,3.98
,5966,3.43,,5966,3.98
,5968,3.43,,5968,3.98
,5970,3.42,,5970,3.99
,5972,3.42,,5972,3.98
,5974,3.43,,5974,3.98
,5976,3.44,,5976,3.98
,5978,3.42,,5978,3.98
,5980,3.42,,5980,3.98
,5982,3.42,,5982,3.98
,5984,3.43,,5984,3.98
,5986,3.43,,5986,3.98
,5988,3.42,,5988,3.99
,5990,3.42,,5990,3.98
,5992,3.43,,5992,3.98
,5994,3.43,,5994,3.98
,5996,3.43,,5996,3.98
,5998,3.44,,5998,4
,6000,3.42,,6000,3.99
,6002,3.43,,6002,3.99
,6004,3.42,,6004,3.98
,6006,3.44,,6006,3.98
,6008,3.44,,6008,3.98
,6010,3.44,,6010,3.99
,6012,3.43,,6012,3.99
,6014,3.44,,6014,3.99
,6016,3.44,,6016,3.98
,6018,3.44,,6018,3.98
,6020,3.43,,6020,3.99
,6022,3.44,,6022,3.99
,6024,3.45,,6024,3.99
,6026,3.44,,6026,3.99
,6028,3.44,,6028,4
,6030,3.44,,6030,3.99
,6032,3.44,,6032,4
,6034,3.44,,6034,3.99
,6036,3.44,,6036,3.98
,6038,3.44,,6038,3.98
,6040,3.43,,6040,3.99
,6042,3.45,,6042,3.99
,6044,3.44,,6044,4
,6046,3.44,,6046,4
,6048,3.44,,6048,3.98
,6050,3.45,,6050,3.98
,6052,3.44,,6052,3.99
,6054,3.45,,6054,3.99
,6056,3.46,,6056,4
,6058,3.45,,6058,4
,6060,3.45,,6060,3.99
,6062,3.45,,6062,4
,6064,3.44,,6064,4.01
,6066,3.45,,6066,4.01
,6068,3.45,,6068,4
,6070,3.45,,6070,4
,6072,3.44,,6072,3.99
,6074,3.44,,6074,3.99
,6076,3.44,,6076,4
,6078,3.44,,6078,4
,6080,3.45,,6080,3.99
,6082,3.44,,6082,3.99
,6084,3.44,,6084,3.99
,6086,3.44,,6086,3.99
,6088,3.44,,6088,4
,6090,3.44,,6090,4
,6092,3.45,,6092,4
,6094,3.46,,6094,4
,6096,3.46,,6096,4
,6098,3.44,,6098,4
,6100,3.46,,6100,3.99
,6102,3.46,,6102,3.99
,6104,3.45,,6104,3.99
,6106,3.45,,6106,4
,6108,3.45,,6108,4
,6110,3.47,,6110,4
,6112,3.45,,6112,3.99
,6114,3.45,,6114,4
,6116,3.46,,6116,4
,6118,3.46,,6118,4.01
,6120,3.45,,6120,4.01
,6122,3.44,,6122,4.01
,6124,3.46,,6124,3.99
,6126,3.45,,6126,4
,6128,3.46,,6128,4
,6130,3.44,,6130,4.01
,6132,3.46,,6132,4.01
,6134,3.46,,6134,4.01
,6136,3.46,,6136,4.01
,6138,3.47,,6138,4.01
,6140,3.46,,6140,4
,6142,3.46,,6142,4.01
,6144,3.45,,6144,4
,6146,3.45,,6146,4.01
,6148,3.46,,6148,4.01
,6150,3.46,,6150,4.01
,6152,3.47,,6152,4.01
,6154,3.46,,6154,4
,6156,3.46,,6156,4
,6158,3.46,,6158,4.01
,6160,3.46,,6160,4
,6162,3.46,,6162,4
,6164,3.46,,6164,4.01
,6166,3.46,,6166,4.01
,6168,3.46,,6168,4.01
,6170,3.45,,6170,4.01
,6172,3.47,,6172,4
,6174,3.46,,6174,4
,6176,3.47,,6176,4
,6178,3.48,,6178,4.01
,6180,3.47,,6180,4.01
,6182,3.47,,6182,4.01
,6184,3.47,,6184,4.01
,6186,3.47,,6186,4.01
,6188,3.47,,6188,4.01
,6190,3.47,,6190,4.01
,6192,3.47,,6192,4.02
,6194,3.48,,6194,4.02
,6196,3.48,,6196,4.01
,6198,3.48,,6198,4
,6200,3.48,,6200,4.01
,6202,3.48,,6202,4.01
,6204,3.47,,6204,4.01
,6206,3.46,,6206,4.02
,6208,3.48,,6208,4.02
,6210,3.48,,6210,4.01
,6212,3.47,,6212,4.03
,6214,3.48,,6214,4.02
,6216,3.47,,6216,4.01
,6218,3.48,,6218,4.03
,6220,3.48,,6220,4.01
,6222,3.47,,6222,4.02
,6224,3.48,,6224,4
,6226,3.47,,6226,4.01
,6228,3.48,,6228,4.02
,6230,3.47,,6230,4.01
,6232,3.48,,6232,4.02
,6234,3.48,,6234,4.02
,6236,3.48,,6236,4.01
,6238,3.48,,6238,4.01
,6240,3.48,,6240,4.02
,6242,3.48,,6242,4.02
,6244,3.49,,6244,4.02
,6246,3.5,,6246,4.02
,6248,3.49,,6248,4.01
,6250,3.49,,6250,4.01
,6252,3.48,,6252,4.01
,6254,3.48,,6254,4.02
,6256,3.48,,6256,4.01
,6258,3.49,,6258,4.01
,6260,3.49,,6260,4.01
,6262,3.48,,6262,4.02
,6264,3.48,,6264,4.02
,6266,3.49,,6266,4.02
,6268,3.49,,6268,4.01
,6270,3.48,,6270,4.01
,6272,3.48,,6272,4.02
,6274,3.5,,6274,4.02
,6276,3.49,,6276,4.03
,6278,3.5,,6278,4.02
,6280,3.5,,6280,4.01
,6282,3.49,,6282,4.02
,6284,3.5,,6284,4.01
,6286,3.49,,6286,4.01
,6288,3.48,,6288,4.03
,6290,3.5,,6290,4.01
,6292,3.49,,6292,4.02
,6294,3.49,,6294,4.02
,6296,3.49,,6296,4.03
,6298,3.49,,6298,4.03
,6300,3.49,,6300,4.02
,6302,3.49,,6302,4.02
,6304,3.49,,6304,4.02
,6306,3.5,,6306,4.02
,6308,3.49,,6308,4.03
,6310,3.49,,6310,4.03
,6312,3.49,,6312,4.03
,6314,3.49,,6314,4.02
,6316,3.5,,6316,4.02
,6318,3.5,,6318,4.03
,6320,3.5,,6320,4.03
,6322,3.49,,6322,4.04
,6324,3.49,,6324,4.03
,6326,3.5,,6326,4.02
,6328,3.49,,6328,4.03
,6330,3.49,,6330,4.04
,6332,3.49,,6332,4.03
,6334,3.49,,6334,4.03
,6336,3.5,,6336,4.03
,6338,3.49,,6338,4.03
,6340,3.49,,6340,4.03
,6342,3.49,,6342,4.04
,6344,3.5,,6344,4.03
,6346,3.51,,6346,4.03
,6348,3.51,,6348,4.02
,6350,3.51,,6350,4.03
,6352,3.5,,6352,4.04
,6354,3.5,,6354,4.03
,6356,3.5,,6356,4.03
,6358,3.5,,6358,4.04
,6360,3.5,,6360,4.04
,6362,3.51,,6362,4.04
,6364,3.5,,6364,4.04
,6366,3.5,,6366,4.04
,6368,3.5,,6368,4.03
,6370,3.5,,6370,4.04
,6372,3.5,,6372,4.03
,6374,3.5,,6374,4.04
,6376,3.5,,6376,4.04
,6378,3.51,,6378,4.06
,6380,3.51,,6380,4.04
,6382,3.51,,6382,4.04
,6384,3.51,,6384,4.04
,6386,3.5,,6386,4.04
,6388,3.51,,6388,4.04
,6390,3.5,,6390,4.03
,6392,3.52,,6392,4.04
,6394,3.52,,6394,4.03
,6396,3.52,,6396,4.04
,6398,3.51,,6398,4.04
,6400,3.51,,6400,4.03
,6402,3.51,,6402,4.04
,6404,3.51,,6404,4.04
,6406,3.51,,6406,4.03
,6408,3.51,,6408,4.04
,6410,3.51,,6410,4.03
,6412,3.51,,6412,4.04
,6414,3.51,,6414,4.04
,6416,3.52,,6416,4.03
,6418,3.51,,6418,4.04
,6420,3.51,,6420,4.05
,6422,3.51,,6422,4.04
,6424,3.51,,6424,4.04
,6426,3.52,,6426,4.04
,6428,3.51,,6428,4.05
,6430,3.52,,6430,4.05
,6432,3.52,,6432,4.05
,6434,3.52,,6434,4.04
,6436,3.52,,6436,4.04
,6438,3.52,,6438,4.05
,6440,3.52,,6440,4.05
,6442,3.51,,6442,4.05
,6444,3.52,,6444,4.04
,6446,3.51,,6446,4.03
,6448,3.52,,6448,4.03
,6450,3.52,,6450,4.04
,6452,3.53,,6452,4.04
,6454,3.51,,6454,4.03
,6456,3.51,,6456,4.04
,6458,3.52,,6458,4.06
,6460,3.52,,6460,4.04
,6462,3.52,,6462,4.04
,6464,3.53,,6464,4.05
,6466,3.52,,6466,4.04
,6468,3.53,,6468,4.05
,6470,3.53,,6470,4.04
,6472,3.53,,6472,4.05
,6474,3.52,,6474,4.06
,6476,3.53,,6476,4.05
,6478,3.52,,6478,4.03
,6480,3.53,,6480,4.05
,6482,3.54,,6482,4.05
,6484,3.53,,6484,4.05
,6486,3.54,,6486,4.04
,6488,3.53,,6488,4.05
,6490,3.54,,6490,4.05
,6492,3.54,,6492,4.04
,6494,3.52,,6494,4.05
,6496,3.54,,6496,4.05
,6498,3.54,,6498,4.04
,6500,3.53,,6500,4.04
,6502,3.54,,6502,4.04
,6504,3.53,,6504,4.05
,6506,3.53,,6506,4.05
,6508,3.53,,6508,4.04
,6510,3.53,,6510,4.04
,6512,3.53,,6512,4.05
,6514,3.55,,6514,4.05
,6516,3.54,,6516,4.06
,6518,3.54,,6518,4.06
,6520,3.54,,6520,4.07
,6522,3.55,,6522,4.05
,6524,3.55,,6524,4.05
,6526,3.54,,6526,4.05
,6528,3.55,,6528,4.07
,6530,3.54,,6530,4.06
,6532,3.55,,6532,4.06
,6534,3.55,,6534,4.07
,6536,3.56,,6536,4.07
,6538,3.54,,6538,4.07
,6540,3.55,,6540,4.07
,6542,3.55,,6542,4.06
,6544,3.54,,6544,4.07
,6546,3.54,,6546,4.07
,6548,3.54,,6548,4.07
,6550,3.54,,6550,4.07
,6552,3.54,,6552,4.07
,6554,3.55,,6554,4.07
,6556,3.54,,6556,4.07
,6558,3.55,,6558,4.07
,6560,3.56,,6560,4.07
,6562,3.54,,6562,4.07
,6564,3.54,,6564,4.07
,6566,3.55,,6566,4.07
,6568,3.54,,6568,4.07
,6570,3.54,,6570,4.07
,6572,3.56,,6572,4.06
,6574,3.55,,6574,4.08
,6576,3.54,,6576,4.07
,6578,3.54,,6578,4.06
,6580,3.54,,6580,4.07
,6582,3.55,,6582,4.07
,6584,3.54,,6584,4.07
,6586,3.55,,6586,4.07
,6588,3.55,,6588,4.07
,6590,3.54,,6590,4.07
,6592,3.54,,6592,4.06
,6594,3.55,,6594,4.07
,6596,3.55,,6596,4.07
,6598,3.55,,6598,4.06
,6600,3.54,,6600,4.07
,6602,3.56,,6602,4.07
,6604,3.55,,6604,4.07
,6606,3.56,,6606,4.06
,6608,3.57,,6608,4.07
,6610,3.56,,6610,4.07
,6612,3.54,,6612,4.07
,6614,3.55,,6614,4.07
,6616,3.56,,6616,4.07
,6618,3.56,,6618,4.07
,6620,3.55,,6620,4.08
,6622,3.55,,6622,4.07
,6624,3.55,,6624,4.07
,6626,3.55,,6626,4.07
,6628,3.55,,6628,4.07
,6630,3.56,,6630,4.07
,6632,3.55,,6632,4.07
,6634,3.57,,6634,4.06
,6636,3.56,,6636,4.08
,6638,3.56,,6638,4.08
,6640,3.56,,6640,4.08
,6642,3.56,,6642,4.07
,6644,3.56,,6644,4.07
,6646,3.56,,6646,4.08
,6648,3.56,,6648,4.07
,6650,3.56,,6650,4.06
,6652,3.57,,6652,4.07
,6654,3.56,,6654,4.08
,6656,3.56,,6656,4.07
,6658,3.56,,6658,4.08
,6660,3.56,,6660,4.07
,6662,3.56,,6662,4.07
,6664,3.55,,6664,4.08
,6666,3.57,,6666,4.07
,6668,3.55,,6668,4.06
,6670,3.56,,6670,4.08
,6672,3.57,,6672,4.08
,6674,3.57,,6674,4.08
,6676,3.57,,6676,4.07
,6678,3.57,,6678,4.08
,6680,3.57,,6680,4.08
,6682,3.57,,6682,4.08
,6684,3.57,,6684,4.08
,6686,3.57,,6686,4.08
,6688,3.57,,6688,4.08
,6690,3.57,,6690,4.08
,6692,3.56,,6692,4.08
,6694,3.57,,6694,4.08
,6696,3.56,,6696,4.08
,6698,3.58,,6698,4.08
,6700,3.57,,6700,4.08
,6702,3.57,,6702,4.07
,6704,3.56,,6704,4.08
,6706,3.56,,6706,4.08
,6708,3.58,,6708,4.08
,6710,3.57,,6710,4.07
,6712,3.56,,6712,4.08
,6714,3.57,,6714,4.09
,6716,3.57,,6716,4.09
,6718,3.57,,6718,4.09
,6720,3.58,,6720,4.09
,6722,3.57,,6722,4.07
,6724,3.57,,6724,4.09
,6726,3.57,,6726,4.09
,6728,3.56,,6728,4.09
,6730,3.57,,6730,4.07
,6732,3.57,,6732,4.08
,6734,3.56,,6734,4.08
,6736,3.58,,6736,4.09
,6738,3.57,,6738,4.08
,6740,3.57,,6740,4.09
,6742,3.57,,6742,4.09
,6744,3.57,,6744,4.09
,6746,3.56,,6746,4.08
,6748,3.58,,6748,4.09
,6750,3.58,,6750,4.08
,6752,3.57,,6752,4.09
,6754,3.58,,6754,4.09
,6756,3.58,,6756,4.09
,6758,3.59,,6758,4.09
,6760,3.59,,6760,4.08
,6762,3.58,,6762,4.07
,6764,3.57,,6764,4.1
,6766,3.59,,6766,4.1
,6768,3.59,,6768,4.08
,6770,3.58,,6770,4.08
,6772,3.59,,6772,4.09
,6774,3.59,,6774,4.08
,6776,3.58,,6776,4.09
,6778,3.57,,6778,4.09
,6780,3.59,,6780,4.1
,6782,3.59,,6782,4.09
,6784,3.6,,6784,4.09
,6786,3.58,,6786,4.09
,6788,3.58,,6788,4.09
,6790,3.58,,6790,4.09
,6792,3.59,,6792,4.09
,6794,3.59,,6794,4.08
,6796,3.58,,6796,4.09
,6798,3.58,,6798,4.09
,6800,3.6,,6800,4.09
,6802,3.58,,6802,4.1
,6804,3.6,,6804,4.09
,6806,3.6,,6806,4.09
,6808,3.6,,6808,4.09
,6810,3.58,,6810,4.09
,6812,3.58,,6812,4.09
,6814,3.59,,6814,4.09
,6816,3.58,,6816,4.09
,6818,3.59,,6818,4.09
,6820,3.61,,6820,4.1
,6822,3.6,,6822,4.09
,6824,3.59,,6824,4.09
,6826,3.6,,6826,4.11
,6828,3.6,,6828,4.1
,6830,3.6,,6830,4.09
,6832,3.61,,6832,4.1
,6834,3.59,,6834,4.1
,6836,3.59,,6836,4.1
,6838,3.59,,6838,4.1
,6840,3.6,,6840,4.1
,6842,3.59,,6842,4.1
,6844,3.6,,6844,4.1
,6846,3.59,,6846,4.1
,6848,3.6,,6848,4.09
,6850,3.59,,6850,4.1
,6852,3.59,,6852,4.11
,6854,3.59,,6854,4.12
,6856,3.59,,6856,4.11
,6858,3.59,,6858,4.11
,6860,3.6,,6860,4.11
,6862,3.59,,6862,4.1
,6864,3.59,,6864,4.1
,6866,3.6,,6866,4.09
,6868,3.6,,6868,4.1
,6870,3.6,,6870,4.1
,6872,3.6,,6872,4.1
,6874,3.6,,6874,4.11
,6876,3.6,,6876,4.1
,6878,3.6,,6878,4.1
,6880,3.6,,6880,4.1
,6882,3.6,,6882,4.09
,6884,3.6,,6884,4.11
,6886,3.61,,6886,4.1
,6888,3.6,,6888,4.1
,6890,3.6,,6890,4.1
,6892,3.6,,6892,4.11
,6894,3.61,,6894,4.1
,6896,3.6,,6896,4.11
,6898,3.6,,6898,4.1
,6900,3.6,,6900,4.1
,6902,3.61,,6902,4.1
,6904,3.6,,6904,4.1
,6906,3.59,,6906,4.11
,6908,3.59,,6908,4.11
,6910,3.59,,6910,4.11
,6912,3.6,,6912,4.09
,6914,3.59,,6914,4.11
,6916,3.59,,6916,4.1
,6918,3.61,,6918,4.11
,6920,3.6,,6920,4.11
,6922,3.6,,6922,4.1
,6924,3.61,,6924,4.11
,6926,3.6,,6926,4.11
,6928,3.61,,6928,4.1
,6930,3.61,,6930,4.1
,6932,3.6,,6932,4.11
,6934,3.61,,6934,4.1
,6936,3.61,,6936,4.11
,6938,3.61,,6938,4.12
,6940,3.61,,6940,4.11
,6942,3.61,,6942,4.11
,6944,3.6,,6944,4.12
,6946,3.62,,6946,4.13
,6948,3.61,,6948,4.11
,6950,3.61,,6950,4.11
,6952,3.62,,6952,4.11
,6954,3.62,,6954,4.11
,6956,3.63,,6956,4.12
,6958,3.62,,6958,4.12
,6960,3.62,,6960,4.11
,6962,3.64,,6962,4.12
,6964,3.61,,6964,4.11
,6966,3.62,,6966,4.12
,6968,3.61,,6968,4.12
,6970,3.62,,6970,4.11
,6972,3.62,,6972,4.12
,6974,3.62,,6974,4.12
,6976,3.62,,6976,4.11
,6978,3.62,,6978,4.11
,6980,3.62,,6980,4.11
,6982,3.61,,6982,4.12
,6984,3.62,,6984,4.11
,6986,3.61,,6986,4.11
,6988,3.63,,6988,4.11
,6990,3.62,,6990,4.12
,6992,3.62,,6992,4.12
,6994,3.63,,6994,4.12
,6996,3.63,,6996,4.12
,6998,3.64,,6998,4.12
,7000,3.63,,7000,4.12
,7002,3.64,,7002,4.11
,7004,3.63,,7004,4.12
,7006,3.64,,7006,4.13
,7008,3.63,,7008,4.13
,7010,3.63,,7010,4.13
,7012,3.62,,7012,4.13
,7014,3.63,,7014,4.13
,7016,3.62,,7016,4.13
,7018,3.63,,7018,4.12
,7020,3.64,,7020,4.12
,7022,3.63,,7022,4.12
,7024,3.63,,7024,4.11
,7026,3.62,,7026,4.12
,7028,3.62,,7028,4.12
,7030,3.63,,7030,4.12
,7032,3.63,,7032,4.1
,7034,3.63,,7034,4.13
,7036,3.62,,7036,4.12
,7038,3.65,,7038,4.11
,7040,3.64,,7040,4.12
,7042,3.64,,7042,4.12
,7044,3.63,,7044,4.12
,7046,3.65,,7046,4.12
,7048,3.64,,7048,4.12
,7050,3.65,,7050,4.12
,7052,3.64,,7052,4.13
,7054,3.66,,7054,4.12
,7056,3.64,,7056,4.12
,7058,3.65,,7058,4.14
,7060,3.64,,7060,4.12
,7062,3.65,,7062,4.11
,7064,3.64,,7064,4.13
,7066,3.64,,7066,4.12
,7068,3.64,,7068,4.12
,7070,3.64,,7070,4.14
,7072,3.64,,7072,4.13
,7074,3.64,,7074,4.12
,7076,3.64,,7076,4.13
,7078,3.65,,7078,4.14
,7080,3.64,,7080,4.13
,7082,3.64,,7082,4.13
,7084,3.64,,7084,4.13
,7086,3.64,,7086,4.14
,7088,3.64,,7088,4.12
,7090,3.64,,7090,4.12
,7092,3.64,,7092,4.13
,7094,3.64,,7094,4.12
,7096,3.63,,7096,4.13
,7098,3.65,,7098,4.13
,7100,3.63,,7100,4.13
,7102,3.64,,7102,4.15
,7104,3.64,,7104,4.13
,7106,3.64,,7106,4.14
,7108,3.64,,7108,4.15
,7110,3.64,,7110,4.15
,7112,3.64,,7112,4.14
,7114,3.65,,7114,4.16
,7116,3.64,,7116,4.14
,7118,3.64,,7118,4.14
,7120,3.64,,7120,4.14
,7122,3.64,,7122,4.14
,7124,3.66,,7124,4.13
,7126,3.65,,7126,4.14
,7128,3.66,,7128,4.14
,7130,3.66,,7130,4.12
,7132,3.65,,7132,4.14
,7134,3.66,,7134,4.13
,7136,3.66,,7136,4.14
,7138,3.65,,7138,4.14
,7140,3.65,,7140,4.14
,7142,3.64,,7142,4.15
,7144,3.65,,7144,4.14
,7146,3.64,,7146,4.16
,7148,3.65,,7148,4.14
,7150,3.64,,7150,4.14
,7152,3.65,,7152,4.15
,7154,3.66,,7154,4.15
,7156,3.65,,7156,4.13
,7158,3.65,,7158,4.14
,7160,3.65,,7160,4.14
,7162,3.64,,7162,4.14
,7164,3.65,,7164,4.15
,7166,3.65,,7166,4.14
,7168,3.64,,7168,4.14
